date,rank,title,gross,theaters,total_gross_to_date,days_in_release,is_opening_day
2026-05-12,3,Mortal Kombat II,3705210.0,3503.0,44959252.0,5,0
2026-05-12,4,The Sheep Detectives,1846407.0,3457.0,18047675.0,5,0
2026-05-12,5,Project Hail Mary,805092.0,2417.0,329764777.0,54,0
2026-05-12,6,The Super Mario Galaxy Movie,667285.0,3075.0,413271510.0,42,0
2026-05-12,7,Hokum,588682.0,1900.0,13448474.0,12,0
2026-05-12,8,Billie Eilish: Hit Me Hard and Soft—The Tour,479973.0,2613.0,7903034.0,5,0
2026-05-12,9,Deep Water,140507.0,1301.0,3956040.0,12,0
2026-05-12,10,Animal Farm,101432.0,2140.0,5211574.0,12,0
2026-05-12,11,Lee Cronin’s The Mummy,67516.0,612.0,28842207.0,26,0
2026-05-12,-,The Drama,66121.0,292.0,47838544.0,40,0
2026-05-12,-,The Story of Everything,42063.0,260.0,1875353.0,13,0
2026-05-12,-,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,24118.0,837.0,1390382.0,12,0
2026-05-12,-,Hoppers,16353.0,335.0,165724858.0,68,0
2026-05-12,-,Mother Mary,8322.0,55.0,2543126.0,26,0
2026-05-12,-,The Christophers,8250.0,70.0,1788350.0,33,0
2026-05-12,-,"You, Me & Tuscany",7275.0,87.0,18714305.0,33,0
2026-05-12,-,A Great Awakening,6344.0,88.0,8082208.0,40,0
2026-05-12,-,Mile End Kicks,5597.0,14.0,646519.0,26,0
2026-05-12,-,Erupcja,3891.0,50.0,206352.0,26,0
2026-05-12,-,I Swear,3398.0,23.0,1003283.0,19,0
2026-05-12,-,Silent Friend,2500.0,2.0,76705.0,5,0
2026-05-12,-,Kiki’s Delivery Service,822.0,2.0,2669724.0,12928,0
2026-05-12,-,Whisper of the Heart,323.0,4.0,390657.0,626,0
2026-05-12,-,Fuze,314.0,7.0,1479757.0,19,0
2026-05-12,-,Kontinental ‘25,218.0,8.0,45095.0,47,0
2026-05-12,-,Fireflies at El Mozote,188.0,2.0,99207.0,26,0
2026-05-12,-,Labyrinth,125.0,430.0,39638.0,3,0
2026-05-12,-,Strange Journey: The Story of Rocky Horror,120.0,1.0,122305.0,229,0
2026-05-12,-,Miroirs No. 3,117.0,7.0,212357.0,54,0
2026-05-12,-,Solo Mio,35.0,5.0,25735756.0,96,0
