title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
The Kid Detective,2020,Oct 16,364138.0,865.0,-,,https://www.boxofficemojo.com/release/rl4099244801/?ref_=bo_yld_table_150
She Dies Tomorrow,2020,Jul 31,398663.0,24.0,-,,https://www.boxofficemojo.com/release/rl2470609665/?ref_=bo_yld_table_151
Greed,2020,Feb 28,355308.0,596.0,-,,https://www.boxofficemojo.com/release/rl3785392641/?ref_=bo_yld_table_152
Yellow Rose,2020,Oct 9,367849.0,900.0,-,,https://www.boxofficemojo.com/release/rl5735169/?ref_=bo_yld_table_153
Ride Your Wave,2020,Feb 19,332432.0,605.0,-,,https://www.boxofficemojo.com/release/rl1168998913/?ref_=bo_yld_table_154
The Eight Hundred,2020,Aug 28,372755.0,142.0,-,,https://www.boxofficemojo.com/release/rl1464500993/?ref_=bo_yld_table_155
Les Misérables,2020,Jan 10,330181.0,69.0,-,,https://www.boxofficemojo.com/release/rl615416321/?ref_=bo_yld_table_156
Die Hard,2020,Dec 4,325000.0,1172.0,-,,https://www.boxofficemojo.com/release/rl3412165377/?ref_=bo_yld_table_157
Clemency,2020,Dec 27,364716.0,127.0,-,,https://www.boxofficemojo.com/release/rl721978881/?ref_=bo_yld_table_158
Ordinary Love,2020,Feb 14,323688.0,22.0,-,,https://www.boxofficemojo.com/release/rl1604420097/?ref_=bo_yld_table_159
Casper,2020,May 26,100836847.0,2757.0,-,,https://www.boxofficemojo.com/release/rl2923988481/?ref_=bo_yld_table_160
The Informer,2020,Nov 6,300460.0,283.0,-,,https://www.boxofficemojo.com/release/rl2483193345/?ref_=bo_yld_table_161
Playing with Fire,2020,Nov 8,44451847.0,3185.0,-,,https://www.boxofficemojo.com/release/rl604603905/?ref_=bo_yld_table_162
Save Yourselves!,2020,Oct 2,301162.0,388.0,-,,https://www.boxofficemojo.com/release/rl1195475713/?ref_=bo_yld_table_163
Judy,2020,Sep 27,24313888.0,1627.0,-,,https://www.boxofficemojo.com/release/rl470189569/?ref_=bo_yld_table_164
The Traitor,2020,Jan 31,296027.0,45.0,-,,https://www.boxofficemojo.com/release/rl2970322433/?ref_=bo_yld_table_165
Gremlins,2020,Jul 10,295000.0,64.0,-,,https://www.boxofficemojo.com/release/rl2068153089/?ref_=bo_yld_table_166
How the Grinch Stole Christmas,2020,Dec 4,420180.0,300.0,-,,https://www.boxofficemojo.com/release/rl3127018241/?ref_=bo_yld_table_167
Mystify: Michael Hutchence,2020,Jan 7,289573.0,597.0,-,,https://www.boxofficemojo.com/release/rl4262168065/?ref_=bo_yld_table_168
Created Equal: Clarence Thomas in His Own Words,2020,Jan 31,282149.0,53.0,-,,https://www.boxofficemojo.com/release/rl1538490881/?ref_=bo_yld_table_169
Fatman,2020,Nov 13,278378.0,259.0,-,,https://www.boxofficemojo.com/release/rl1532789505/?ref_=bo_yld_table_170
An American in Paris,2020,Jan 19,267824.0,651.0,-,,https://www.boxofficemojo.com/release/rl1102283265/?ref_=bo_yld_table_171
Wonder Woman,2020,Dec 11,252000.0,560.0,-,,https://www.boxofficemojo.com/release/rl2959246081/?ref_=bo_yld_table_172
Back to the Future,2020,Jul 31,247000.0,258.0,-,,https://www.boxofficemojo.com/release/rl340361985/?ref_=bo_yld_table_173
Bohemian Rhapsody,2020,Jul 17,240000.0,,-,,https://www.boxofficemojo.com/release/rl88769281/?ref_=bo_yld_table_174
63 Up,2020,Nov 27,483684.0,28.0,-,,https://www.boxofficemojo.com/release/rl1386709505/?ref_=bo_yld_table_175
Tokyo Godfathers,2020,Mar 9,237571.0,519.0,-,,https://www.boxofficemojo.com/release/rl682525185/?ref_=bo_yld_table_176
Blind Eyes Opened,2020,Jan 23,234505.0,534.0,-,,https://www.boxofficemojo.com/release/rl2735441409/?ref_=bo_yld_table_177
The Climb,2020,Nov 13,234429.0,408.0,-,,https://www.boxofficemojo.com/release/rl2987099649/?ref_=bo_yld_table_178
Doctor Who Live Q&A And Screening,2020,Jan 5,228615.0,692.0,-,,https://www.boxofficemojo.com/release/rl2511241729/?ref_=bo_yld_table_179
CatVideoFest 2020,2020,Feb 21,437625.0,84.0,-,,https://www.boxofficemojo.com/release/rl3954082305/?ref_=bo_yld_table_180
Wild Mountain Thyme,2020,Dec 11,213440.0,450.0,-,,https://www.boxofficemojo.com/release/rl3680338689/?ref_=bo_yld_table_181
The Secrets We Keep,2020,Sep 16,207928.0,471.0,-,,https://www.boxofficemojo.com/release/rl289571585/?ref_=bo_yld_table_182
Jiang Ziya,2020,Oct 1,214670.0,55.0,-,,https://www.boxofficemojo.com/release/rl783188481/?ref_=bo_yld_table_183
