title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
SUGA: Agust D Tour 'D-DAY' the Movie,2024,SUGA-Agust-D-Tour-D-DAY-the-Movie-(2024),,,,,,,,,,,,
Out of Darkness,2024,Out-of-Darkness-(2024),,,,,,,,,,,,
Lilo & Stitch,2025,Lilo-and-Stitch-(2025),14500000.0,55942802.0,47823374.0,42249999.0,160516175.0,146016175.0,2.8693,2.6101,1.8835,1,4410.0,12685.0
Superman,2025,Superman-(2025),22500000.0,56109755.0,37606538.0,31305442.0,147521735.0,125021735.0,2.6292,2.2282,1.8324,1,4135.0,13569.0
A Minecraft Movie,2025,A-Minecraft-Movie-(2025),,,,,,,,,,,,
Jurassic World: Rebirth,2025,Jurassic-World-Rebirth-(2025),,30503855.0,25300775.0,26235450.0,82040080.0,82040080.0,2.6895,2.6895,2.0369,1,4063.0,7508.0
Wicked: For Good,2025,Wicked-For-Good-(2025),30800000.0,69117615.0,43415440.0,34471585.0,177804640.0,147004640.0,2.5725,2.1269,1.794,1,4115.0,16797.0
Zootopia 2,2025,Zootopia-2-(2025),10200000.0,38497734.0,20043787.0,39060332.0,107801853.0,97601853.0,2.8002,2.5353,2.9488,1,4000.0,9624.0
Sinners,2025,Sinners-(2025),4700000.0,19202349.0,16501469.0,12303650.0,52707468.0,48007468.0,2.7448,2.5001,1.7456,1,3308.0,5805.0
How to Train Your Dragon,2025,How-to-Train-Your-Dragon-(2025),11100000.0,35349740.0,26595165.0,22688410.0,95733315.0,84633315.0,2.7082,2.3942,1.8531,1,4356.0,8115.0
The Fantastic Four: First Steps,2025,The-Fantastic-Four-First-Steps-(2025),,,,,,,,,,,,
Avatar: Fire and Ash,2025,Avatar-Fire-and-Ash-(2025),12000000.0,36486725.0,28413107.0,24261028.0,101160860.0,89160860.0,2.7725,2.4437,1.8539,1,3800.0,9602.0
Captain America: Brave New World,2025,Captain-America-Brave-New-World-(2025),12000000.0,40912377.0,27719411.0,20210815.0,100842603.0,88842603.0,2.4648,2.1715,1.7291,1,4105.0,9966.0
Mission: Impossible - The Final Reckoning,2025,Mission-Impossible-The-Final-Reckoning-(2025),8300000.0,24807867.0,20311131.0,18917430.0,72336428.0,64036428.0,2.9159,2.5813,1.9314,2,3857.0,6432.0
F1: The Movie,2025,F1-The-Movie-(2025),10000000.0,25001059.0,17502336.0,14498272.0,67001667.0,57001667.0,2.68,2.28,1.8284,1,3661.0,6829.0
Weapons,2025,Weapons-(2025),5700000.0,18170479.0,14010307.0,11320431.0,49201217.0,43501217.0,2.7078,2.3941,1.808,1,3202.0,5675.0
Final Destination: Bloodlines,2025,Final-Destination-Bloodlines-(2025),5500000.0,20959554.0,17965375.0,12675177.0,57100106.0,51600106.0,2.7243,2.4619,1.7055,1,3523.0,5949.0
The Conjuring: Last Rites,2025,The-Conjuring-Last-Rites-(2025),,,,,,,,,,,,
Thunderbolts*,2025,Thunderbolts*-(2025),,,,,,,,,,,,
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,Demon-Slayer-Kimetsu-No-Yaiba-Infinity-Castle-(2025),,,,,,,,,,,,
Five Nights at Freddy's 2,2025,Five-Nights-at-Freddys-2-(2025),7200000.0,29957030.0,20801885.0,13248515.0,71207430.0,64007430.0,2.377,2.1366,1.6369,1,3412.0,8780.0
Dog Man,2025,Dog-Man-(2025),1360000.0,10778735.0,15202115.0,10021090.0,37361940.0,36001940.0,3.4663,3.3401,1.6592,1,3885.0,2774.0
Freakier Friday,2025,Freakier-Friday-(2025),3100000.0,12830077.0,9167029.0,6586061.0,31683167.0,28583167.0,2.4694,2.2278,1.7185,2,3975.0,3228.0
Mufasa: The Lion King,2025,Mufasa-The-Lion-King-(2025),,,,,,,,,,,,
Predator: Badlands,2025,Predator-Badlands-(2025),4800000.0,15898455.0,14530856.0,9587542.0,44816853.0,40016853.0,2.8189,2.517,1.6598,1,3725.0,4268.0
Snow White,2025,Snow-White-(2025),,,,,,,,,,,,
Black Phone 2,2025,Black-Phone-2-(2025),2600000.0,11026005.0,9673145.0,6632890.0,29932040.0,27332040.0,2.7147,2.4789,1.6857,1,3411.0,3232.0
Sonic the Hedgehog 3,2025,Sonic-the-Hedgehog-3-(2025),,,,,,,,,,,,
The Bad Guys 2,2025,The-Bad-Guys-2-(2025),,,,,,,,,,,,
Tron: Ares,2025,Tron-Ares-(2025),4800000.0,14405054.0,10923092.0,7913287.0,38041433.0,33241433.0,2.6408,2.3076,1.7245,1,4000.0,3601.0
Elio,2025,Elio-(2025),3000000.0,8967892.0,6639159.0,5233616.0,23840667.0,20840667.0,2.6584,2.3239,1.7883,3,3750.0,2391.0
28 Years Later,2025,28-Years-Later-(2025),5800000.0,14473891.0,9138067.0,6391008.0,35802966.0,30002966.0,2.4736,2.0729,1.6994,1,3444.0,4203.0
